danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.854,0.674,1,-6.23,1,0.184,0.0517,8.53e-05,0.509,0.848,99.022,audio_features,6WzRpISELf3YglGAh7TXcG,spotify:track:6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/tracks/6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/audio-analysis/6WzRpISELf3YglGAh7TXcG,215467,4
0.772,0.423,1,-8.452,1,0.0562,0.00905,0.516,0.14,0.281,157.156,audio_features,3xvzR05d6KgexfzjJgDRDl,spotify:track:3xvzR05d6KgexfzjJgDRDl,https://api.spotify.com/v1/tracks/3xvzR05d6KgexfzjJgDRDl,https://api.spotify.com/v1/audio-analysis/3xvzR05d6KgexfzjJgDRDl,122187,4
0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107,audio_features,4GssB27iJeqmfGxS94Tfij,spotify:track:4GssB27iJeqmfGxS94Tfij,https://api.spotify.com/v1/tracks/4GssB27iJeqmfGxS94Tfij,https://api.spotify.com/v1/audio-analysis/4GssB27iJeqmfGxS94Tfij,220537,4
0.842,0.461,1,-5.189,1,0.0675,0.000624,0.623,0.0545,0.48,100.001,audio_features,2Ct0MnmqHDvjLqpi5gxcSM,spotify:track:2Ct0MnmqHDvjLqpi5gxcSM,https://api.spotify.com/v1/tracks/2Ct0MnmqHDvjLqpi5gxcSM,https://api.spotify.com/v1/audio-analysis/2Ct0MnmqHDvjLqpi5gxcSM,99657,4
0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112,audio_features,6uFn47ACjqYkc0jADwEdj1,spotify:track:6uFn47ACjqYkc0jADwEdj1,https://api.spotify.com/v1/tracks/6uFn47ACjqYkc0jADwEdj1,https://api.spotify.com/v1/audio-analysis/6uFn47ACjqYkc0jADwEdj1,166560,4
0.795,0.859,2,-2.994,1,0.0542,0.0361,0.0,0.0321,0.356,96.986,audio_features,3lOMJTQTd6J34faYwASc33,spotify:track:3lOMJTQTd6J34faYwASc33,https://api.spotify.com/v1/tracks/3lOMJTQTd6J34faYwASc33,https://api.spotify.com/v1/audio-analysis/3lOMJTQTd6J34faYwASc33,168107,4
0.705,0.613,7,-7.441,1,0.123,0.262,6.97e-06,0.198,0.259,74.521,audio_features,3wn8nOygkHLUQ9dlXM1rKW,spotify:track:3wn8nOygkHLUQ9dlXM1rKW,https://api.spotify.com/v1/tracks/3wn8nOygkHLUQ9dlXM1rKW,https://api.spotify.com/v1/audio-analysis/3wn8nOygkHLUQ9dlXM1rKW,167187,4
0.711,0.228,0,-12.85,1,0.172,0.776,0.0,0.122,0.548,88.714,audio_features,57Pk2GU0ABFYBbbcgYxqki,spotify:track:57Pk2GU0ABFYBbbcgYxqki,https://api.spotify.com/v1/tracks/57Pk2GU0ABFYBbbcgYxqki,https://api.spotify.com/v1/audio-analysis/57Pk2GU0ABFYBbbcgYxqki,224387,4
0.853,0.533,4,-6.647,1,0.126,0.263,0.00406,0.134,0.306,123.066,audio_features,47yD0e9MCRIB8dgUXPfyW3,spotify:track:47yD0e9MCRIB8dgUXPfyW3,https://api.spotify.com/v1/tracks/47yD0e9MCRIB8dgUXPfyW3,https://api.spotify.com/v1/audio-analysis/47yD0e9MCRIB8dgUXPfyW3,193320,4
0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,audio_features,79s5XnCN4TJKTVMSmOx8Ep,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,https://api.spotify.com/v1/tracks/79s5XnCN4TJKTVMSmOx8Ep,https://api.spotify.com/v1/audio-analysis/79s5XnCN4TJKTVMSmOx8Ep,216387,4
0.73,0.782,10,-3.884,0,0.05,0.0766,0.0338,0.106,0.593,180.068,audio_features,4BLbZo3DCqQXMzogWV1GNP,spotify:track:4BLbZo3DCqQXMzogWV1GNP,https://api.spotify.com/v1/tracks/4BLbZo3DCqQXMzogWV1GNP,https://api.spotify.com/v1/audio-analysis/4BLbZo3DCqQXMzogWV1GNP,133333,4
0.588,0.484,8,-7.058,0,0.153,0.0219,0.0,0.156,0.337,161.178,audio_features,26Fx8UbsC0BV4J1CdtuLAy,spotify:track:26Fx8UbsC0BV4J1CdtuLAy,https://api.spotify.com/v1/tracks/26Fx8UbsC0BV4J1CdtuLAy,https://api.spotify.com/v1/audio-analysis/26Fx8UbsC0BV4J1CdtuLAy,109430,4
0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,audio_features,6EDO9iiTtwNv6waLwa1UUq,spotify:track:6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/tracks/6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/audio-analysis/6EDO9iiTtwNv6waLwa1UUq,200221,4
0.729,0.795,7,-4.579,1,0.144,0.354,0.0,0.536,0.856,146.747,audio_features,5zd9TgduWbfFXwgnm3K3Rz,spotify:track:5zd9TgduWbfFXwgnm3K3Rz,https://api.spotify.com/v1/tracks/5zd9TgduWbfFXwgnm3K3Rz,https://api.spotify.com/v1/audio-analysis/5zd9TgduWbfFXwgnm3K3Rz,176880,4
0.769,0.818,6,-1.385,0,0.192,0.263,0.0,0.0787,0.918,88.017,audio_features,4E5IFAXCob6QqZaJMTw5YN,spotify:track:4E5IFAXCob6QqZaJMTw5YN,https://api.spotify.com/v1/tracks/4E5IFAXCob6QqZaJMTw5YN,https://api.spotify.com/v1/audio-analysis/4E5IFAXCob6QqZaJMTw5YN,240800,4
0.847,0.559,1,-5.252,1,0.0498,0.000401,0.688,0.0913,0.476,108.004,audio_features,0umAduzH6cuIMorxfeGtUN,spotify:track:0umAduzH6cuIMorxfeGtUN,https://api.spotify.com/v1/tracks/0umAduzH6cuIMorxfeGtUN,https://api.spotify.com/v1/audio-analysis/0umAduzH6cuIMorxfeGtUN,92328,4
0.844,0.677,1,-6.216,1,0.158,0.0406,8.32e-05,0.407,0.841,98.995,audio_features,67gUqq3wVAztSquOpNZ4Xs,spotify:track:67gUqq3wVAztSquOpNZ4Xs,https://api.spotify.com/v1/tracks/67gUqq3wVAztSquOpNZ4Xs,https://api.spotify.com/v1/audio-analysis/67gUqq3wVAztSquOpNZ4Xs,215467,4
0.854,0.674,1,-6.23,1,0.184,0.0517,8.53e-05,0.509,0.848,99.022,audio_features,7GUhiAHLoVy1V8ucQuZ3CB,spotify:track:7GUhiAHLoVy1V8ucQuZ3CB,https://api.spotify.com/v1/tracks/7GUhiAHLoVy1V8ucQuZ3CB,https://api.spotify.com/v1/audio-analysis/7GUhiAHLoVy1V8ucQuZ3CB,215467,4
0.666,0.81,8,-4.574,1,0.0458,0.152,0.0,0.0613,0.811,99.023,audio_features,6AviHKu3ydzAePBmzEi62v,spotify:track:6AviHKu3ydzAePBmzEi62v,https://api.spotify.com/v1/tracks/6AviHKu3ydzAePBmzEi62v,https://api.spotify.com/v1/audio-analysis/6AviHKu3ydzAePBmzEi62v,200213,4
0.566,0.769,7,-4.342,1,0.0872,0.0183,0.0,0.108,0.385,170.036,audio_features,5sbooPcNgIE22DwO0VNGUJ,spotify:track:5sbooPcNgIE22DwO0VNGUJ,https://api.spotify.com/v1/tracks/5sbooPcNgIE22DwO0VNGUJ,https://api.spotify.com/v1/audio-analysis/5sbooPcNgIE22DwO0VNGUJ,191100,4
