id,name,artists,release_date,language,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2JJ9z5cHcm1fXkp8lDVaQ2,Jazz,Aylior,2019-09-12,AR,0.698,0.254,5,-15.289,1,0.0498,0.746,0.875,0.104,0.504,88.17,audio_features,spotify:track:2JJ9z5cHcm1fXkp8lDVaQ2,https://api.spotify.com/v1/tracks/2JJ9z5cHcm1fXkp8lDVaQ2,https://api.spotify.com/v1/audio-analysis/2JJ9z5cHcm1fXkp8lDVaQ2,111814,4
0pjCsB0XNSyqM9UazlTODC,Jazz Suite No. 2: VI. Waltz 2,"Dmitri Shostakovich, Russian State Symphony Orchestra, Dmitry Yablonsky",2002-04-15,AR,0.322,0.184,0,-18.312,0,0.0338,0.984,0.902,0.0813,0.356,107.847,audio_features,spotify:track:0pjCsB0XNSyqM9UazlTODC,https://api.spotify.com/v1/tracks/0pjCsB0XNSyqM9UazlTODC,https://api.spotify.com/v1/audio-analysis/0pjCsB0XNSyqM9UazlTODC,193600,4
1muuU1537td0NXq2cf6BNh,Jazz,We Dream In Anime,2021-10-14,AR,0.227,0.0457,0,-28.213,1,0.0348,0.884,0.991,0.395,0.224,148.491,audio_features,spotify:track:1muuU1537td0NXq2cf6BNh,https://api.spotify.com/v1/tracks/1muuU1537td0NXq2cf6BNh,https://api.spotify.com/v1/audio-analysis/1muuU1537td0NXq2cf6BNh,50408,3
1MVBehWZKhewSmucdZ5BpZ,Jazz Hands,"XANAKIN SKYWOK, Sadfriendd",2021-03-05,AR,0.749,0.849,8,-6.045,1,0.22,0.15,0.0,0.252,0.777,107.519,audio_features,spotify:track:1MVBehWZKhewSmucdZ5BpZ,https://api.spotify.com/v1/tracks/1MVBehWZKhewSmucdZ5BpZ,https://api.spotify.com/v1/audio-analysis/1MVBehWZKhewSmucdZ5BpZ,104930,4
7g4Cd8Cti1eHrcTyDXPfYP,JAZZ,Kyung dasom,2023-09-19,AR,0.459,0.446,6,-5.485,0,0.0463,0.424,0.0,0.12,0.574,177.645,audio_features,spotify:track:7g4Cd8Cti1eHrcTyDXPfYP,https://api.spotify.com/v1/tracks/7g4Cd8Cti1eHrcTyDXPfYP,https://api.spotify.com/v1/audio-analysis/7g4Cd8Cti1eHrcTyDXPfYP,96120,4
1D5PMly59volxN3IJMv9bt,Jazz,The Fumes,2015-11-20,AR,0.366,0.931,1,-2.91,0,0.0933,0.0917,8.83e-06,0.115,0.435,170.185,audio_features,spotify:track:1D5PMly59volxN3IJMv9bt,https://api.spotify.com/v1/tracks/1D5PMly59volxN3IJMv9bt,https://api.spotify.com/v1/audio-analysis/1D5PMly59volxN3IJMv9bt,262848,4
2k6OU00K9obF3R1eqA2mJP,Jazzy's Song,Ayra Starr,2024-05-30,AR,0.757,0.711,1,-7.413,1,0.0583,0.129,2.37e-05,0.134,0.488,114.968,audio_features,spotify:track:2k6OU00K9obF3R1eqA2mJP,https://api.spotify.com/v1/tracks/2k6OU00K9obF3R1eqA2mJP,https://api.spotify.com/v1/audio-analysis/2k6OU00K9obF3R1eqA2mJP,134072,4
2auxyWNOPIPQxi4wfcASJW,Jazz,T.S.B.G.,2024-05-31,AR,0.476,0.412,7,-11.979,1,0.083,0.351,0.0,0.216,0.343,131.27,audio_features,spotify:track:2auxyWNOPIPQxi4wfcASJW,https://api.spotify.com/v1/tracks/2auxyWNOPIPQxi4wfcASJW,https://api.spotify.com/v1/audio-analysis/2auxyWNOPIPQxi4wfcASJW,174913,4
2Sid2Qb4Y67gv6b6FtXMc2,Jazz Noir,Norberg,2024-04-12,AR,0.335,0.127,5,-12.559,1,0.0327,0.981,0.0018,0.0882,0.193,53.513,audio_features,spotify:track:2Sid2Qb4Y67gv6b6FtXMc2,https://api.spotify.com/v1/tracks/2Sid2Qb4Y67gv6b6FtXMc2,https://api.spotify.com/v1/audio-analysis/2Sid2Qb4Y67gv6b6FtXMc2,179355,4
4N6SmWg9M92xRwejuVBxwQ,Jazz,iwamizu,2016-10-07,AR,0.72,0.721,5,-3.97,1,0.0486,0.227,0.381,0.362,0.579,89.141,audio_features,spotify:track:4N6SmWg9M92xRwejuVBxwQ,https://api.spotify.com/v1/tracks/4N6SmWg9M92xRwejuVBxwQ,https://api.spotify.com/v1/audio-analysis/4N6SmWg9M92xRwejuVBxwQ,199193,4
5uXPEPtDINXo7rSjGYFLSr,Jazz Wobbles,The Orchestrator,2022-03-11,AR,0.741,0.243,8,-16.655,1,0.0375,0.659,0.698,0.132,0.262,115.996,audio_features,spotify:track:5uXPEPtDINXo7rSjGYFLSr,https://api.spotify.com/v1/tracks/5uXPEPtDINXo7rSjGYFLSr,https://api.spotify.com/v1/audio-analysis/5uXPEPtDINXo7rSjGYFLSr,94655,5
2zMn261sjoitKZJehIMKPD,Jazz,The Durutti Column,1979-01-01,AR,0.544,0.505,4,-13.241,1,0.0852,0.323,0.802,0.283,0.41,112.194,audio_features,spotify:track:2zMn261sjoitKZJehIMKPD,https://api.spotify.com/v1/tracks/2zMn261sjoitKZJehIMKPD,https://api.spotify.com/v1/audio-analysis/2zMn261sjoitKZJehIMKPD,99733,4
3n3gfS8H6kpyqF2x5vUdLT,Jazz Odyssey,Red Brick Lane,2023-08-31,AR,0.364,0.169,5,-15.792,1,0.034,0.91,0.684,0.108,0.0838,87.007,audio_features,spotify:track:3n3gfS8H6kpyqF2x5vUdLT,https://api.spotify.com/v1/tracks/3n3gfS8H6kpyqF2x5vUdLT,https://api.spotify.com/v1/audio-analysis/3n3gfS8H6kpyqF2x5vUdLT,170784,4
0TrEMKiKV6JE7PyGkmm2VV,Jazz,DJ Zeeter,2022-03-08,AR,0.821,0.609,2,-6.346,0,0.051,0.256,0.819,0.103,0.772,113.074,audio_features,spotify:track:0TrEMKiKV6JE7PyGkmm2VV,https://api.spotify.com/v1/tracks/0TrEMKiKV6JE7PyGkmm2VV,https://api.spotify.com/v1/audio-analysis/0TrEMKiKV6JE7PyGkmm2VV,223636,4
32rOcuTIZZTNWdsrUWGCJ6,Jazz 104,Max Graef,2014-04-07,AR,0.545,0.881,4,-9.98,0,0.123,0.715,0.241,0.208,0.732,116.204,audio_features,spotify:track:32rOcuTIZZTNWdsrUWGCJ6,https://api.spotify.com/v1/tracks/32rOcuTIZZTNWdsrUWGCJ6,https://api.spotify.com/v1/audio-analysis/32rOcuTIZZTNWdsrUWGCJ6,67944,3
1vlW9HfSLdhoL6sVfO8Anz,Jazz,Sm Noop,2024-04-02,AR,0.899,0.731,1,-5.429,1,0.357,0.614,0.0,0.0955,0.648,92.122,audio_features,spotify:track:1vlW9HfSLdhoL6sVfO8Anz,https://api.spotify.com/v1/tracks/1vlW9HfSLdhoL6sVfO8Anz,https://api.spotify.com/v1/audio-analysis/1vlW9HfSLdhoL6sVfO8Anz,117603,4
2hiMcQkBhr3FRhrp3cgbCa,Jazz Suite No. 2: VIII. Finale,"Dmitri Shostakovich, Royal Concertgebouw Orchestra, Riccardo Chailly",2024-06-06,AE,0.584,0.427,5,-14.216,1,0.0287,0.807,0.834,0.085,0.613,111.538,audio_features,spotify:track:2hiMcQkBhr3FRhrp3cgbCa,https://api.spotify.com/v1/tracks/2hiMcQkBhr3FRhrp3cgbCa,https://api.spotify.com/v1/audio-analysis/2hiMcQkBhr3FRhrp3cgbCa,143640,4
6jnLsjqqgQGZGHUenUyTsB,Jazz,David Crowe,2019-01-16,AR,0.502,0.674,6,-15.051,1,0.787,0.768,0.0,0.395,0.393,112.964,audio_features,spotify:track:6jnLsjqqgQGZGHUenUyTsB,https://api.spotify.com/v1/tracks/6jnLsjqqgQGZGHUenUyTsB,https://api.spotify.com/v1/audio-analysis/6jnLsjqqgQGZGHUenUyTsB,290457,5
1grGYyIWIJ44ApvRXWCvdN,Jazz Junction,James Earle Trio,2024-02-16,AR,0.412,0.163,7,-17.951,1,0.0316,0.933,0.475,0.0949,0.262,103.647,audio_features,spotify:track:1grGYyIWIJ44ApvRXWCvdN,https://api.spotify.com/v1/tracks/1grGYyIWIJ44ApvRXWCvdN,https://api.spotify.com/v1/audio-analysis/1grGYyIWIJ44ApvRXWCvdN,156299,4
6Z1TYllQ31HlIGhxX7zI6k,Jazz,"Moses Wilde., Empty Advice, Tesk",2021-09-21,AR,0.577,0.493,5,-7.019,0,0.0674,0.205,2.61e-05,0.185,0.237,86.955,audio_features,spotify:track:6Z1TYllQ31HlIGhxX7zI6k,https://api.spotify.com/v1/tracks/6Z1TYllQ31HlIGhxX7zI6k,https://api.spotify.com/v1/audio-analysis/6Z1TYllQ31HlIGhxX7zI6k,171837,4
3kNh4133CYht6pLAolph8B,Jazzy Interlude,Billy Munn,1999-07-22,AR,0.659,0.539,3,-8.453,1,0.0423,0.978,0.677,0.0594,0.947,96.608,audio_features,spotify:track:3kNh4133CYht6pLAolph8B,https://api.spotify.com/v1/tracks/3kNh4133CYht6pLAolph8B,https://api.spotify.com/v1/audio-analysis/3kNh4133CYht6pLAolph8B,174440,4
30oD3N6nmIDb0OZJ1A4dQy,Jazz,"Mac Kay, Guest Julka",2021-11-19,AR,0.74,0.462,9,-8.903,0,0.0397,0.519,1.93e-05,0.0746,0.436,89.981,audio_features,spotify:track:30oD3N6nmIDb0OZJ1A4dQy,https://api.spotify.com/v1/tracks/30oD3N6nmIDb0OZJ1A4dQy,https://api.spotify.com/v1/audio-analysis/30oD3N6nmIDb0OZJ1A4dQy,170667,4
5XVjj6hJTWgYiDx72Wo5QS,Jazz Bar,Dreamcatcher,2020-02-18,AR,0.669,0.708,11,-5.923,1,0.142,0.704,0.0,0.335,0.725,93.767,audio_features,spotify:track:5XVjj6hJTWgYiDx72Wo5QS,https://api.spotify.com/v1/tracks/5XVjj6hJTWgYiDx72Wo5QS,https://api.spotify.com/v1/audio-analysis/5XVjj6hJTWgYiDx72Wo5QS,214587,4
5u8g9bBja2IESAqDu03x6W,Jazz,trompette,2012-03-13,AR,0.706,0.217,0,-15.439,0,0.0367,0.0698,0.00111,0.0905,0.8,139.944,audio_features,spotify:track:5u8g9bBja2IESAqDu03x6W,https://api.spotify.com/v1/tracks/5u8g9bBja2IESAqDu03x6W,https://api.spotify.com/v1/audio-analysis/5u8g9bBja2IESAqDu03x6W,222424,4
5IAnYEubDYn72p8Lhoa3m4,Jazz Noir Nightscape,James Earle Trio,2024-03-29,AR,0.375,0.151,8,-17.298,1,0.039,0.575,0.08,0.102,0.107,88.294,audio_features,spotify:track:5IAnYEubDYn72p8Lhoa3m4,https://api.spotify.com/v1/tracks/5IAnYEubDYn72p8Lhoa3m4,https://api.spotify.com/v1/audio-analysis/5IAnYEubDYn72p8Lhoa3m4,176508,4
7fAhwIX8dBLJF2AaPE2Gu6,Jazz,K.A.A.N.,2015-10-11,AR,0.587,0.969,6,-7.04,1,0.331,0.424,0.0,0.312,0.601,174.021,audio_features,spotify:track:7fAhwIX8dBLJF2AaPE2Gu6,https://api.spotify.com/v1/tracks/7fAhwIX8dBLJF2AaPE2Gu6,https://api.spotify.com/v1/audio-analysis/7fAhwIX8dBLJF2AaPE2Gu6,176616,4
4vmgjFtU3elyx0cfcdJzrR,Jazzy Feelings,Shane Fierce,2023-09-11,AR,0.758,0.485,4,-15.996,0,0.0655,0.065,0.736,0.169,0.376,116.999,audio_features,spotify:track:4vmgjFtU3elyx0cfcdJzrR,https://api.spotify.com/v1/tracks/4vmgjFtU3elyx0cfcdJzrR,https://api.spotify.com/v1/audio-analysis/4vmgjFtU3elyx0cfcdJzrR,140330,4
4fdftRy6Gon68yCvJzOtYo,Jazz,Caramelos De Cianuro,2015,AR,0.449,0.901,8,-5.597,1,0.327,0.0551,4.75e-05,0.439,0.386,180.985,audio_features,spotify:track:4fdftRy6Gon68yCvJzOtYo,https://api.spotify.com/v1/tracks/4fdftRy6Gon68yCvJzOtYo,https://api.spotify.com/v1/audio-analysis/4fdftRy6Gon68yCvJzOtYo,162970,4
2vLY1XY3CldlvrDnEN1Xj6,jazzyfav.,"yeyts., igory",2018-06-29,AR,0.875,0.0758,9,-12.55,0,0.288,0.241,0.718,0.115,0.852,95.993,audio_features,spotify:track:2vLY1XY3CldlvrDnEN1Xj6,https://api.spotify.com/v1/tracks/2vLY1XY3CldlvrDnEN1Xj6,https://api.spotify.com/v1/audio-analysis/2vLY1XY3CldlvrDnEN1Xj6,72000,4
5eJCX9dXG42lXEdeSGX6er,jazz,EBK TEEJ,2024-03-01,AR,0.817,0.504,1,-13.35,0,0.323,0.185,4.7e-05,0.0881,0.167,99.934,audio_features,spotify:track:5eJCX9dXG42lXEdeSGX6er,https://api.spotify.com/v1/tracks/5eJCX9dXG42lXEdeSGX6er,https://api.spotify.com/v1/audio-analysis/5eJCX9dXG42lXEdeSGX6er,134505,4
2CzYHourfYD0fQBaBHgCNS,Jazzy Night,Miki Matsubara,1980,AR,0.72,0.65,11,-9.036,0,0.0317,0.376,7.83e-06,0.214,0.91,134.937,audio_features,spotify:track:2CzYHourfYD0fQBaBHgCNS,https://api.spotify.com/v1/tracks/2CzYHourfYD0fQBaBHgCNS,https://api.spotify.com/v1/audio-analysis/2CzYHourfYD0fQBaBHgCNS,231760,4
0cgzQXqmotFaCD2ogCD7yi,Jazz,Timothy Sutton,2024-03-23,AR,0.708,0.282,4,-16.848,0,0.0858,0.842,0.0,0.0632,0.442,79.243,audio_features,spotify:track:0cgzQXqmotFaCD2ogCD7yi,https://api.spotify.com/v1/tracks/0cgzQXqmotFaCD2ogCD7yi,https://api.spotify.com/v1/audio-analysis/0cgzQXqmotFaCD2ogCD7yi,168594,4
7kRqlEazb5fBfmgr7dKRwf,Jazz Bar Classics Are Coming Home Tonight,C.O.D.J,2019-03-29,AR,0.768,0.0981,5,-21.658,1,0.0548,0.982,0.806,0.104,0.579,94.915,audio_features,spotify:track:7kRqlEazb5fBfmgr7dKRwf,https://api.spotify.com/v1/tracks/7kRqlEazb5fBfmgr7dKRwf,https://api.spotify.com/v1/audio-analysis/7kRqlEazb5fBfmgr7dKRwf,103062,4
64OJBvUoBussjz3u8hNg2m,Jazz,Louie Zong,2019-12-06,AR,0.637,0.308,4,-16.557,1,0.0553,0.964,0.922,0.202,0.228,87.106,audio_features,spotify:track:64OJBvUoBussjz3u8hNg2m,https://api.spotify.com/v1/tracks/64OJBvUoBussjz3u8hNg2m,https://api.spotify.com/v1/audio-analysis/64OJBvUoBussjz3u8hNg2m,131538,4
4piWGWlGPmzxSmFj3gbdZB,Jazzy Afternoon,LoFi Waiter,2021-02-03,AR,0.674,0.52,4,-9.925,1,0.0334,0.772,0.945,0.107,0.225,82.47,audio_features,spotify:track:4piWGWlGPmzxSmFj3gbdZB,https://api.spotify.com/v1/tracks/4piWGWlGPmzxSmFj3gbdZB,https://api.spotify.com/v1/audio-analysis/4piWGWlGPmzxSmFj3gbdZB,96047,4
15Csfc8bkcJRCT04OErRkP,Jazz,Paul F. Tompkins,2007-06-12,AR,0.563,0.477,2,-8.51,1,0.932,0.882,0.0,0.959,0.802,74.652,audio_features,spotify:track:15Csfc8bkcJRCT04OErRkP,https://api.spotify.com/v1/tracks/15Csfc8bkcJRCT04OErRkP,https://api.spotify.com/v1/audio-analysis/15Csfc8bkcJRCT04OErRkP,211533,3
